number,image,audio,paragraph,question,option1,option2,option3,option4,correctanswer
52,,,,Rosewater Medical Center employs healthcare -------- affiliated with Huron University.,professional,profession,professionals,professionally,C
53,,,,"Once you have detected a fatal virus on your computer, common sense -------- that you should have your hard drive reformatted by skilled professionals.",indicates,commands,notices ,distributes,A
54,,,,The webpage for each course must be -------- before the students start their classes on January 7th.,total,absolute,ready,actual,C
55,,,,The decline in sales was -------- due to the lack of innovation in the ideas of the marketing team.,probably,nearly,useful,safely,A
56,,,,Ms. Fenwick not only composed the report -------- produced the visual aids which were so useful during then meeting.,but,however,also,and,A
57,,,,"In a television interview, the Traxton Ltd. CEO said that -------- of the merger with Bell Corporation would be announced soon.",detail,details,detailed,detailing,B
58,,,,All future team meetings will be -------- in room 414 at noon on the first Wednesday of every month.,sustained,held,supported,meet,B
59,,,,Andrew Hartwell is -------- regarded by his employees because of his dedication and experience.,highly,high,highest,higher,A
60,,,,…...Mr. Fowler or Ms. Bloch will have to travel to London for the symposium on textile manufacturing.,Both,None,Each,Neither,C
61,,,,The use of the -------- possible lighting in the laboratory has been beneficial to the research conducted by the botanists employed there.,bright,brightest,brightens,brightness,B
62,,,,Any concerns regarding your natural gas appliances should be directed to the manufacturer-retailer -------- which you purchased the natural gas appliance,on,for,from,in,C
63,,,,"Unless specified --------, contractors will be responsible for obtaining all necessary safety certification and permits applicable to their scope of work.",therefore,consequently,otherwise,yet,C
64,,,,The invoice -------- was received two days ago is inaccurate and a new one must be requested.,that,there ,any ,how,A
65,,,"A long time ago, this part of the town used to be a place where people came to relax and get away from their stress. Although this was a shelter for people to escape, it has nowA long time ago, this part of the town used to be a place where people came to relax and get away from their stress. Although this was (65)........ a shelter for people to escape, it has now

Up until a few years ago, it wasn't as bad as it is now. Although it is true that some people in the neighborhood supported the expansion of the market a few years ago, now most of them (66)........

that it has gotten out of control and created many serious problems for the area (67)........, it might have already gotten too far out of control. What we really need right now is not a

mere intervention by civilians but strong action from the mayor's office.",Choose the word or phrase that best completes the blanks:,just ,once,such,likely,B
66,,,,,would have agreed,would agree,has agree, were agreeing,B
67,,,,,In fact,In spite of,On the other hand,Even though,A
68,,,"AirVoyage’s spokesperson Bob Lohman announced this morning that a short-term (68)........ of the company’s online reservation system was responsible for several delays yesterday.

International air traffic was stalled as AirVoyage found alternate means of updating its customers with current flight information. Lohman stated that the network problem (69)........ by outages at the local communication company.

Lohman added that staff members have made significant changes to the reservation system, and the (70)........ system will increase customer satisfaction. In addition, AirVoyage has increased its telephone reservation system staff to boost customer support for last-minute reservations.",,magnified,enhanced,selected,select,B
69,,,,,is caused,has been caused,will be caused,was caused,D
70,,,,,failure,arrival,complaint,report,A
71,,,"To: All staff
From: Daniel Barker
Date: August 29
Subject: Recycling

I would like to advise all staff members that new policies will be going into effect office-wide regarding the consumption of paper. An environmentally-based company such as ours needs to be a leader in the use of disposable products. In order to conserve both finances and the environment, we will be considering our use of paper.

Our Finance Department has advised me that we are spending $40,000 annually on copy paper. (71)........

We will be increasing company awareness of recycling in the coming months; please check your mailboxes soon for a list of paper products that can be recycled. When you throw away these products, make sure to use the correct bins. Our building maintenance staff will (72)........ the recycled paper products each evening and transport them to the local recycling facilities.
I would like to thank you in advance for taking advantage of this new program.

Thank you,
Daniel Barker",,collect,correct,use,talk,A
72,,,,,environmentalist,environment,environmentally,environmental,C
73,,,,,In spite of,Due to ,In regard to,In fact,D
74,,,"NanoMac Inc.
Finance Department
Office #402
26 Mountain Dr.
Sharonville, SC

Brooks Brothers Marketing
356 Brewster Rd.
Applewood, TN
Att'n: Paul O'Reilly

INVOICE FOR:
1 desktop computer $590.75
1laser jet printer $195.95
NanoMac Inc.
2 cartons glossy 8 x 11 inch copy paper $54.25
100 blue Shic pens $103.96

GST (Goods and Services Tax) $62.03
TOTAL PAYABLE: $1006.94
Customer Registration No. 878-96854-632
Invoice No. 856
Date of Invoice: July 15, 2007

To be paid within 30 days of invoice date. Should customers fail to pay within 30 days, a charge of $50 will be added to the account each month that payment is overdue.
Note: NanoMac Inc. is trying to improve its customer service. Since your company has been a loyal customer of ours, we invite you to fill out an online survey to assess our customer service. Fill out the survey at www.nanomac.com and you can enter to win a $500 coupon.
If you have any questions about the invoice, please contact our department by e-mail or phone.

************

To: Michael Shoe 
From: Paul O'Reilly 
Subject: Surcharge
Date: September 25, 2007

Hi Michael,

I recently received an invoice for the products we purchased from your company in July. I noticed that we were charged an additional $100 dollars because our payment was two months overdue. I would like to explain why we failed to make these payments, and hope that you will reverse the charges immediately.
At the end of July, our department underwent restructuring and Brian Davies, our Finance Manager, was asked to leave. Unfortunately, in the process of changing managers a few files were misplaced, including the one containing all of our office supplies invoices. I hope you will accept my request so that we continue doing business with your company in the future.

Sincerely,
Paul O'Reilly",What kind of service does NanoMac Technology provide?,It specializes in computer software.,It distributes office supplies.,It repairs electronic devices.,It gives financial advice.,B
75,,,,Which of the following is TRUE about Brooks Brothers Marketing?,It has several offices in Sharonville.,It is an electronics store.,It constantly works with NanoMac.,It is a start-up company.,C
76,,,,What is the purpose of the e-mail?,To improve the volume of the order,To ask about an upcoming sale,To request an address change,To respond to a service charge,D
77,,,,What is the purpose of the e-mail?,To improve the volume of the order,To ask about an upcoming sale,To request an address change,To respond to a service charge,D
78,,,,What happened at Brooks Brothers Marketing in July?,It merged with another marketing company.,The management structure was changed.,A new marketing strategy was introduced.,It relocated its headquarters to a different place.,B
79,,,"Passage 1:

To: Ken Perez <kperez@megasupply.com>
From: Emma Appleby <eappleby@megasupply.com>
Date: July 2
Subject: Fall Catalog Review
 
Hi Ken,
Please find attached sample pages from the fall catalog which will be released at the end of August. Please review them and give me your comments. Mr. Benson and I agreed that the pages with dining room furniture should be redone because the colors are not right. Let me know what you think.

We don’t have much time because we have to complete the catalog, send it for printing by July 30, and release it by the end of August. So please send me your comments as soon as possible. After I incorporate all the comments, I will obtain the management’s approval on the revised document and send it to ABC Printing.

Emma
 *************
Passage 2:

To: Emma Appleby <eappleby@megasupply.com>
From: Ken Perez <kperez@megasupply.com>
Date: July 3
Subject: RE: Fall Catalog review
 
Emma,

My e-mail system was down yesterday, and I did not have access to my messages until this morning. That’s why I was not able to address your concerns earlier.

Now I can open your e-mail, but for some reason I cannot open the attachments. I can’t figure out what is wrong.

Could you send me the attachment again? I have a marketing this afternoon at three, but will have some time to go over the pictures before that. I’ll try to send you my comments by the close of business today.

Ken", What is the attachment referred to by Mr. Perez?,A meeting agenda,A printing schedule,A contract document ,Photographs of furniture,D
80,,,,"In the second e-mail, the word “concerns” in paragraph 1, line 2 is closest in meaning to",worries,suggestions,requests,involvements,A
81,,,,Why did Mr. Perez send Ms. Appleby an e-mail?,To invite her to a meeting,To give his comments on the catalog,To request her to resend the document,To ask about the printing deadline,C
82,,,, By when should the document be sent to ABC Printing?,1.July,20.July,30.July,30.August,C
83,,,, What did Ms. Appleby request Mr. Perez to do?,To send her a notice regarding a marketing meeting,To review sample pages of a catalog,To put her photo in the new catalog,To fix her computer,B
84,,,"Passage 1:

THEARTSTORE.COM
All-inclusive art resource for artists, students and lovers of exceptional design!
Your source for Art Supplies, Painting Supplies, Craft Supplies, Drafting Supplies, Architecture Supplies, Digital Printing and Much More!

* Weekend special! (Limited time offer while quantities last)
Reeves Ease! Painting Set – Watercolor, $25.99 - $16.99
DecoColor Paint Markers – Assorted colors, $2.79 and up
Art Alternatives Economy Sketchbooks (8.5’’x11’’), $9.65

Buy a Coleman Watercolor Field Box Set and receive a six-color watercolor set free! (Regular price $60, Sale price $48) The Coleman Watercolor Field Box Set contains twelve Coleman half pans of moist watercolors, Sceptre pocket brush, artist sponge, water pot, white integral palette and thumb ring.
For consultation or questions, contact our customer service representatives at inquiry@thearstore.com.
 ************
Passage 2:

Art World
International contemporary art and style magazine
Baltimore’s best art supply store
Whether you are a student, a hobbyist, or a serious artist, The Art Store has the best range of supplies at the consistently lowest price. If you need high-quality paper, paint, brushes, canvas, or more, The Art Store is the place to go. It is a national chain and carries its own brands of supplies, along with other brands. Since there is no middleman, The Art Store brand products are very affordable and high quality.
Also, there are always specials and sales on different items. Customers can sign up to get coupons and specials in the mail. The Art Store also has a preferred customer card that helps with getting the best price.
This weekend, The Art Store offers special discounts for watercolor paints, paint markers and sketchbooks. If you need to purchase back-to-school supplies for your child, you do not want to miss this opportunity to save. They also provide free USP ground shipping on orders over $100, although some supplies may take up to four weeks to arrive. For more details, check out their website, www.theartstore.com.","In the review, the word “affordable” in paragraph 1, line 5 is closest in meaning to",influential,inexpensive ,kind,popular,B
85,,,, Why did the review choose The Art Store as the best art supply store?,Convenient international shipping ,Excellent customer service,Low prices,Friendly staff and nice interior design,C
86,,,,Which of the following is not included in the Coleman Watercolor Field Box Set?,Palette ,Sponge,Sketchbook,Watercolors,C
87,,,,What can be inferred about The Art Store?,It has a good reputation as an art supply provider,It has recently moved to Baltimore.,It has recently moved to Baltimore.,It offers special sales through the website monthly,A
88,,,,What is offered as a special discount item?,Two sketchbooks for the price of one,A gift with the purchase of a watercolor set.,50% discount on shipping for all purchases,A free coupon with the purchase of an easel,B
89,,,"Arabian Business Weekly
October 8

Eli Finance Awarded the Best Financial Services Company in the UAE

Eli Finance, the largest real estate financier in the Middle East by market value and total assets, today proudly announced that it received the award for the “Best Financial Services Company in the UAE” during the 2008 Liquid Real Estate Awards ceremony organized by Euromoney. Euromoney Liquid Real Estate Awards honor the world’s leading institutions for their ability to innovate and develop new products and services to meet the market’s demand in today’s increasingly challenging financial environment, as well as make the most efficient use of the inherent strengths within their organization. Speaking on the occasion, Mr. Ismael Alharmi, Chief Executive Officer of Eli Finance said, “We are honored to receive this prestigious award and I would like to thank our staff at Eli for their efforts. This award will leverage our position as the largest real estate financier in the region”. Eli won this award from a highly competitive list of contenders for its excellent performance and business expansion over the last ten months. Its half yearly net profit saw an increase of 155 percent and total assets, as of June 2008, stood at an astounding AED14.2bn, a growth of 133% compared to AED6.1bn as of June 2007. Eli has also set its global footprint in various international markets such as Egypt and Saudi Arabia, and plans to commence operations in Jordan and Qatar.",Where does Eli Finance plan to begin operations?,In Egypt,In Saudi Arabia,In Iran,In Qatar,D
90,,,,What seem to be true about Eli Finance?,It has overtaken its rival company Euromoney,Its main office will relocate to the Middle East region,It received the award because of excellent business performance.,It was disappointed with the award given by Euromoney,C
91,,,, What is the main point of this article?,An investigation is being conducted for a financial company’s fraud scandal.,A firm has been recognized for its remarkable growth.,UAE firms are gaining more influence in the international market.,Eli Finance announces the appointment of a new CEO,B
92,,,"From: Rachel
To: Sophie

As per our telephone conversation yesterday, I’m sending you the schedule for Mr. John Lehman’s business trip. I would appreciate it if you could book the flights and hotels based on this itinerary. Since he has several meetings scheduled in each city he visits in Europe, please note that Mr. Lehman must take early flights for all of his departures except for the New York to Berlin flight. He has an important lunch reception in New York on May 10th, so the earliest time he can depart is 3 p.m.

May 10: New York to Berlin
May 13: Berlin to Barcelona
May 15: Barcelona to Madrid
May 17: Madrid to Firenze
May 20: Fienze to New York

Based on the information you have given me, I informed Mr. Lehman that there is no direct flight from Firenze to New York that fits his schedule. Therefore, please make sure that he has at least three hours to transfer so as not to miss his connecting flight due to any possible delays. Also, Mr. Lehman would like to change planes in Barcelona, if possible.

If you have questions or concerns, please let me know right away. Thank you for your assistance.",What does Mr. Lehman want to do?,Change the departure date from New York,Stop over in Amsterdam,Transfer in Barcelon,Upgrade his flight class,C
93,,,, When does Mr. Lehman have to leave in the afternoon?,10.May,13.May,15.May,16.May,A
94,,,"Richview District Library

New Address
1806 Islington Avenue
Richview District
(Next to Islington Junior High)

Hours
Monday-Thursday      9:00 a.m.-8:30 p.m.
Friday                          9:00 a.m.-6:00 p.m.
Saturday                      9:00 a.m.-5:00 p.m.
Sunday                        1:30 p.m.-5:00 p.m. (Sep. to Jun.)
(Closed on holidays)

Loan period: Books and audio materials – 3 weeks; Movies – 1 week
                      (One time renewal is allowed by e-mail)

Overdue fines (per day per item): Books - $0.50; Audio materials and movies - $1.00
Newspapers, reference materials, microfilm- For use in library only

The library carries a wide selection of books including current bestsellers for both fiction and nonfiction. There are also many audio books available in CD format. Movies are available in both DVD and VHS format.

If you have questions or suggestions regarding Circulation, Reserve, Shelving, or other Loan Services functions contact Jennifer Edwins, Loan Service Manager, by e-mail (jedwins@richview.net) or by phone at (507) 222-4259.",What is NOT allowed to be taken out of the library?,Books,Audio materials,Newspapers,Movies,C
95,,,,What time is the library open till on Friday?,1:30 p.m.,5:00 p.m.,6:00 p.m.,8:30 p.m.,C
96,,,,What is NOT mentioned about the library in the notice?,It serves certain types of customers only,It opens on weekends during certain months.,Its address has changed recently.,It is located next to a school,A
97,,,"Exciting and Relaxing Waterborne Travel Option
Blue Bridge Ferries – Relax and enjoy the scenery!
 
Forget about annoying and crowded traffic! Take a ferry ride across the Bay of Fundy in comfort, style, and with time to spare! Our high-speed Blue Bridge ferries provide a quick and convenient ride between Everett and Fundy Bay City, offering a great host of amenities including reserved seating, fax machine, and television. Friendly captains and crew will make your ride more enjoyable. With hourly departures, our ferries will take you to Fundy Bay terminal, only five minutes from the Fundy Bay City business district, in just 45 minutes. Monthly passes are available at $100. Parking is available in an adjacent parking lot with affordable rates ($5.00 per day, $3.00 on weekends, $75.00 for a monthly pass). It is a great way to start and finish your day! For more information on fares and ferry schedules, visit our website at www.bbferries.com, or call us at (555) 512-3342.",What seems to be true about Fundy Bay City?,It will soon provide train service to Everett,It provides free parking for monthly pass holders.,It provides free schedules for the ferry service.,Its business centers is only minutes from the ferry terminal,D
98,,,,Who are the intended readers of this advertisement?,Ferry employees,Commuters to Fundy Bay City,Travel agents ,Blue Bridge shareholders,B
99,,,"Guest Name: Helen County
Reservation number: AX 1402652
Room: 333
Arrival: December 3    13:23
Departure: December 9
 

 

Date Description Charge
Dec 3~9 Room Charge 840.00
Dec 3 Room Service 14.00
Dec 4 1900 Bar 20.00
Dec 6 Telephone call 10.00
Dec 7 Dinner: 1900 Bar & Grill 32.00*
Dec 7 Dry cleaning 5.00
Dec 8 Room Service 18.00
Dec 9 Shuttle Service 15.00
                                                                                                Total: $954.00
* 10% discount applied
Guest signature: Helen County
Hotel manager: Jeff Benson", To which item was the discount applied?,A room charge,A telephone fee ,A room service charge,A dinner at the hotel restaurant,D
100,,,,When was Ms. County’s check-out date?,3.Dec,5.Dec,7.Dec,9.Dec,D
